,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Id,Venue Name,Venue Latitude,Venue Longitude,Venue Category
57,Rochechouart,48.8798119198,2.344861291,4bbe2f165ce0d13a46c0df57,Cacahuète,48.877300021832795,2.3468520865087013,French Restaurant
58,Rochechouart,48.8798119198,2.344861291,5102dee4e4b0967f6de5c881,Résidence Du Pré,48.87833557510649,2.3477272911447185,Hotel
59,Rochechouart,48.8798119198,2.344861291,4fd28400e4b01a8122531279,Ibis Styles Paris Cadet Lafayette,48.878313609144655,2.3474969194942332,Hotel
60,Rochechouart,48.8798119198,2.344861291,4c2cd3a057a9c9b6b509f867,Boulangerie Banette Ammy,48.87964022937012,2.349406741453819,Bakery
61,Rochechouart,48.8798119198,2.344861291,4d94badd98c88cfa50ea2349,Monop',48.87692996856845,2.3480862115765686,Convenience Store
62,Rochechouart,48.8798119198,2.344861291,4fc21f2de4b0f6b4ee3121c6,Smart Place Gare du Nord by Hiphophostels,48.88078290345457,2.3515409231185913,Hostel
63,Rochechouart,48.8798119198,2.344861291,4b09212cf964a520581423e3,9Hôtel Opera,48.87638680678756,2.3470002777527443,Hotel
64,Rochechouart,48.8798119198,2.344861291,4ba3e400f964a520a66a38e3,La Villa Del Padre,48.880862869720914,2.3511276182166747,Pizza Place
65,Rochechouart,48.8798119198,2.344861291,4b754b74f964a520e9042ee3,Le Diplomate,48.883317560865905,2.3468747298627592,French Restaurant
66,Rochechouart,48.8798119198,2.344861291,4e5411f262e14e02e8bb4de7,Le Bébé,48.877325252150264,2.3467736662103404,French Restaurant
67,Rochechouart,48.8798119198,2.344861291,517c4f76e4b00db68437d63b,42 Degrés,48.877461855301966,2.3491383211515693,Vegetarian / Vegan Restaurant
68,Rochechouart,48.8798119198,2.344861291,515abf20e4b06d091b901c1a,Le Lotus D'or,48.87940120211803,2.3485194393864646,Vietnamese Restaurant
69,Rochechouart,48.8798119198,2.344861291,54a85018498e9a309152c29a,Chez Bouboule,48.88190561042207,2.3467062413692474,Bar
70,Rochechouart,48.8798119198,2.344861291,4bb4de676ebfc9b62f86edfa,Sushi Nagasaki,48.880888702124516,2.351236617850481,Sushi Restaurant
71,Rochechouart,48.8798119198,2.344861291,4c110bc181e976b0151710eb,Boulangerie Banette,48.881777730696015,2.347276210784912,Bakery
72,Rochechouart,48.8798119198,2.344861291,5a01fe4eca18ea4a01322282,Gyudon Bar,48.881924,2.3471072,Japanese Restaurant
73,Rochechouart,48.8798119198,2.344861291,4b4ad6a6f964a520e18e26e3,Hôtel Montmartre Clignancourt,48.88398100666673,2.347059278573624,Hotel
74,Rochechouart,48.8798119198,2.344861291,4dd27a731520b73b28b2bc8b,celio* Déstockage,48.88332,2.34766,Men's Store
75,Bercy,48.8352090499,2.38621008421,4b657ec1f964a52059f22ae3,Bercy Village,48.83305736010547,2.3864150047302246,Shopping Plaza
76,Bercy,48.8352090499,2.38621008421,4f6a1c5ee4b0e357e9fd4139,Fnac,48.833523,2.386662,Department Store
77,Bercy,48.8352090499,2.38621008421,4b98122df964a520532a35e3,L'Auberge Aveyronnaise,48.83477241179588,2.386037231962512,French Restaurant
78,Bercy,48.8352090499,2.38621008421,51add4a3498e8f3a41cc9337,Cour Saint-Émilion,48.83323,2.386692,Pedestrian Plaza
79,Bercy,48.8352090499,2.38621008421,4adcda0af964a5202a3421e3,Parc de Bercy,48.83550086064976,2.382380962371826,Park
80,Bercy,48.8352090499,2.38621008421,4b4f8c95f964a520000b27e3,Musée des Arts Forains,48.83288084545177,2.3890687791931127,Museum
81,Bercy,48.8352090499,2.38621008421,4adcda15f964a520873721e3,La Cinémathèque Française,48.837239,2.382529,Museum
82,Bercy,48.8352090499,2.38621008421,5135e093e4b04c44ea76c7c4,Pedra Alta,48.83640907134069,2.3873067489419078,Portuguese Restaurant
83,Bercy,48.8352090499,2.38621008421,4b576248f964a520fe3428e3,Starbucks,48.833908,2.385869,Coffee Shop
84,Bercy,48.8352090499,2.38621008421,4adcda15f964a520b33721e3,UGC Ciné Cité Bercy,48.832131,2.38535,Multiplex
85,Bercy,48.8352090499,2.38621008421,4e7f4f9e30f8de1c653b7b43,Factory & Co,48.83287758247386,2.386224424238187,Bagel Shop
